humidity,Longitude,rain,lat,lon,temp
45.51,77.34381455,3.166380615,8.25,77.25,99.90000153
45.07,77.19707732,3.166380615,8.25,77.25,99.90000153
34.32,77.0042699,3.331672245,8.25,77,32.98501353
44.38,77.6396249,2.790045429,8.25,77.75,99.90000153
45.3,77.73473677,2.790045429,8.25,77.75,31.0448256
51.54,77.61446183,2.666645745,8.25,77.5,41.13967193
38.58,77.22329921,3.166380615,8.25,77.25,99.90000153
53.47,77.12849249,3.166380615,8.25,77.25,31.41184734
48.51,77.05986621,3.331672245,8.25,77,32.43080567
40.06,77.63954452,2.790045429,8.25,77.75,99.90000153
41.56,77.75216284,2.760499285,8.5,77.75,99.90000153
46.48,76.92112805,4.418984333,8.5,77,99.90000153
50.39,77.81889286,2.760499285,8.5,77.75,32.54579342
59.07,77.50739691,1.721638517,8.5,77.5,31.67957706
40.87,77.3520284,4.116959476,8.5,77.25,31.9982626
47.49,77.56985511,1.721638517,8.5,77.5,99.90000153
39.37,77.29254914,4.116959476,8.5,77.25,99.90000153
35.88,76.73040177,5.099447315,8.5,76.75,31.43902689
45.93,77.99861043,3.245578187,8.5,78,99.90000153
43.11,77.73056876,2.760499285,8.5,77.75,31.69004794
49.24,76.74778309,5.099447315,8.5,76.75,99.90000153
44.19,77.70874362,2.760499285,8.5,77.75,33.46740625
44.74,77.87411432,2.760499285,8.5,77.75,99.90000153
48.2,77.33754128,4.116959476,8.5,77.25,31.9982626
43.97,76.85512674,5.099447315,8.5,76.75,32.46442533
50.65,77.60401476,1.721638517,8.5,77.5,99.90000153
51.22,76.88350118,4.418984333,8.5,77,99.90000153
45.03,77.48612224,1.721638517,8.5,77.5,20.61298078
44.76,77.68316471,2.070441349,8.75,77.75,33.46740625
54.34,76.78913774,5.230998636,8.75,76.75,99.90000153
44.19,76.59524492,4.184902018,8.75,76.5,99.90000153
47.9,77.45229954,2.255367165,8.75,77.5,29.26694955
37.72,77.63973728,2.070441349,8.75,77.75,31.37300063
38.9,77.09803959,4.855044586,8.75,77,32.73699723
41.39,76.47343899,4.184902018,8.75,76.5,99.90000153
48.21,77.1382123,2.887374573,8.75,77.25,99.90000153
51.12,77.12683316,2.887374573,8.75,77.25,99.90000153
49.45,77.70708035,2.070441349,8.75,77.75,31.50477553
49.25,77.58509902,2.255367165,8.75,77.5,26.85968293
41.7,78.05551897,2.642061476,8.75,78,99.90000153
47.58,77.46493278,2.255367165,8.75,77.5,99.90000153
43.67,77.49128152,2.255367165,8.75,77.5,99.90000153
47.23,76.94360369,4.855044586,8.75,77,31.36094154
48.5,76.53680223,4.184902018,8.75,76.5,29.95281267
47.06,76.75826841,5.230998636,8.75,76.75,99.90000153
45.12,76.9750692,4.855044586,8.75,77,30.22543307
47.77,77.188146,3.134769636,9,77.25,28.40058549
43.26,77.72209142,1.675445599,9,77.75,99.90000153
44.63,77.03818525,6.112270816,9,77,99.90000153
53.18,77.13316325,3.134769636,9,77.25,32.42545672
46.85,78.09276835,1.718065286,9,78,31.3185263
38.41,76.41521915,6.020903236,9,76.5,99.90000153
48.82,77.65439698,1.675445599,9,77.75,34.51441068
41.46,77.14963297,3.134769636,9,77.25,33.93692662
47.27,77.77338295,1.675445599,9,77.75,99.90000153
40.78,78.03646511,1.718065286,9,78,32.22271666
46.44,77.29604196,3.134769636,9,77.25,22.56793259
47.11,76.77426754,6.883013677,9,76.75,99.90000153
41.99,78.10707503,1.718065286,9,78,31.32059527
49.45,77.52121804,1.4299334,9,77.5,99.90000153
56.27,76.45232874,6.020903236,9,76.5,99.90000153
37.26,76.14866183,5.921228151,9.25,76.25,32.44944265
43.49,78.25470987,2.313905364,9.25,78.25,29.75960487
29.79,78.38825263,1.801659152,9.25,78.5,41.33907593
45.62,76.8289839,8.123212884,9.25,76.75,99.90000153
52.38,79.19663004,3.867650657,9.25,79.25,99.90000153
54.65,76.3205046,5.921228151,9.25,76.25,99.90000153
47.49,77.58624928,1.896511319,9.25,77.5,31.67957706
49.55,77.33896493,2.575227878,9.25,77.25,99.90000153
44.03,77.20051303,2.575227878,9.25,77.25,99.90000153
41.48,78.30160791,2.313905364,9.25,78.25,99.90000153
44.21,77.91972506,1.756035391,9.25,78,99.90000153
44.05,78.82535928,2.538341665,9.25,78.75,32.90299978
39.98,77.08326214,4.063866978,9.25,77,99.90000153
53.75,78.3289728,2.313905364,9.25,78.25,33.68215904
44.13,77.45307726,1.896511319,9.25,77.5,32.37595877
45.2,77.05728507,4.063866978,9.25,77,99.90000153
42.53,77.48774053,1.896511319,9.25,77.5,99.90000153
47.65,77.54094525,1.896511319,9.25,77.5,31.17675302
49.27,76.35722163,5.921228151,9.25,76.25,32.44350503
50.36,76.39511574,7.179502297,9.25,76.5,34.07771568
42.66,76.8999919,4.063866978,9.25,77,31.08962189
44.64,79.29771808,3.867650657,9.25,79.25,99.90000153
52.16,77.92092398,1.756035391,9.25,78,99.90000153
49.79,78.20298605,2.313905364,9.25,78.25,31.93812739
38.23,77.33570073,2.575227878,9.25,77.25,99.90000153
45.23,77.95332523,1.756035391,9.25,78,24.27132733
50.92,78.19581299,2.313905364,9.25,78.25,99.90000153
35.74,76.50516051,7.179502297,9.25,76.5,99.90000153
39.73,79.20226653,3.752618378,9.5,79.25,32.71548334
47.71,76.38267486,7.999450104,9.5,76.5,99.90000153
47.77,78.46637517,2.399382233,9.5,78.5,99.90000153
51.68,78.76110524,2.644396928,9.5,78.75,31.54727926
39.72,78.45320515,2.399382233,9.5,78.5,99.90000153
52.2,79.1886654,3.752618378,9.5,79.25,32.22853882
44.15,79.36942945,3.752618378,9.5,79.25,99.90000153
51.15,76.2745176,7.689393001,9.5,76.25,31.95845102
43.56,77.27959562,2.440038928,9.5,77.25,30.79048234
48.26,76.91273964,7.767124512,9.5,77,99.90000153
48.69,76.84426041,10.26315538,9.5,76.75,99.90000153
40.6,77.25269611,2.440038928,9.5,77.25,34.86800042
55.43,77.59306694,2.474143422,9.5,77.5,99.90000153
42.59,78.10316315,1.617408766,9.5,78,33.3887334
38.32,77.1303028,2.440038928,9.5,77.25,32.04400985
55.53,77.86816444,1.907933649,9.5,77.75,99.90000153
49.98,78.88268251,3.631858264,9.5,79,33.41402634
43.31,77.47653996,2.474143422,9.5,77.5,32.42545672
46.91,77.32758033,2.440038928,9.5,77.25,99.90000153
46.22,76.21860335,7.689393001,9.5,76.25,99.90000153
50.08,79.31859724,3.752618378,9.5,79.25,99.90000153
45.8,78.52389881,2.399382233,9.5,78.5,99.90000153
54.58,78.10538254,1.617408766,9.5,78,99.90000153
52.56,76.72575293,10.26315538,9.5,76.75,99.90000153
49.35,78.35769154,2.194912592,9.5,78.25,99.90000153
40.55,78.79302721,2.644396928,9.5,78.75,20.20047119
46.37,77.58008094,2.474143422,9.5,77.5,33.46740625
48.71,77.82281145,1.907933649,9.5,77.75,99.90000153
43.38,79.14989506,3.752618378,9.5,79.25,34.51955689
41.2,79.07264232,3.631858264,9.5,79,28.96602575
