Latitude,Longitude,temperature,humidity,rain
8.34233307,77.34381455,29.9,45.51,3.166380615
8.338316605,77.19707732,24.94,45.07,3.166380615
8.244354905,77.0042699,28.15,34.32,3.331672245
8.359783693,77.6396249,35.87,44.38,2.790045429
8.368980286,77.73473677,37.78,45.3,2.790045429
8.241571149,77.61446183,31.79,51.54,2.666645745
8.140595367,77.22329921,29.29,38.58,3.166380615
8.193699357,77.12849249,26.57,53.47,3.166380615
8.249041383,77.05986621,26.62,48.51,3.331672245
8.298363905,77.63954452,33.52,40.06,2.790045429
8.45034154,77.75216284,27.68,41.56,2.760499285
8.435000127,76.92112805,27.71,46.48,4.418984333
8.58150975,77.81889286,29.59,50.39,2.760499285
8.469720725,77.50739691,25.54,59.07,1.721638517
8.525622987,77.3520284,30.86,40.87,4.116959476
8.43605795,77.56985511,26.8,47.49,1.721638517
8.485357312,77.29254914,28.15,39.37,4.116959476
8.4911667,76.73040177,27.41,35.88,5.099447315
8.5973425,77.99861043,27.03,45.93,3.245578187
8.381384348,77.73056876,31.71,43.11,2.760499285
8.397170235,76.74778309,30.57,49.24,5.099447315
8.401115384,77.70874362,30.76,44.19,2.760499285
8.514211858,77.87411432,28.23,44.74,2.760499285
8.382648029,77.33754128,28.35,48.2,4.116959476
8.464617618,76.85512674,30.56,43.97,5.099447315
8.470193736,77.60401476,28.4,50.65,1.721638517
8.618504465,76.88350118,29.36,51.22,4.418984333
8.571062544,77.48612224,28.64,45.03,1.721638517
8.769006007,77.68316471,30.25,44.76,2.070441349
8.65436331,76.78913774,28.57,54.34,5.230998636
8.738619112,76.59524492,22.71,44.19,4.184902018
8.746243455,77.45229954,26.93,47.9,2.255367165
8.693556207,77.63973728,28.93,37.72,2.070441349
8.638494595,77.09803959,32.16,38.9,4.855044586
8.761703307,76.47343899,33.2,41.39,4.184902018
8.675406892,77.1382123,25.01,48.21,2.887374573
8.868663525,77.12683316,31.11,51.12,2.887374573
8.787086873,77.70708035,24.86,49.45,2.070441349
8.625372854,77.58509902,27.97,49.25,2.255367165
8.741136187,78.05551897,25.73,41.7,2.642061476
8.832750984,77.46493278,24.61,47.58,2.255367165
8.652995063,77.49128152,31.55,43.67,2.255367165
8.860130091,76.94360369,30.31,47.23,4.855044586
8.787564099,76.53680223,32.96,48.5,4.184902018
8.652482386,76.75826841,28.8,47.06,5.230998636
8.793873719,76.9750692,30.64,45.12,4.855044586
8.948222564,77.188146,31.75,47.77,3.134769636
8.876436448,77.72209142,29.33,43.26,1.675445599
9.101836247,77.03818525,28.56,44.63,6.112270816
8.92807172,77.13316325,33.95,53.18,3.134769636
8.879646349,78.09276835,25.31,46.85,1.718065286
9.113114987,76.41521915,22.39,38.41,6.020903236
9.020820875,77.65439698,29.63,48.82,1.675445599
8.877489181,77.14963297,31.14,41.46,3.134769636
8.981379572,77.77338295,35.54,47.27,1.675445599
9.110951942,78.03646511,29.41,40.78,1.718065286
8.929161777,77.29604196,28.21,46.44,3.134769636
8.898976096,76.77426754,25.5,47.11,6.883013677
8.979333376,78.10707503,26.28,41.99,1.718065286
9.041653984,77.52121804,28.79,49.45,1.4299334
9.109330556,76.45232874,25.49,56.27,6.020903236
9.34042322,76.14866183,30.54,37.26,5.921228151
9.168636953,78.25470987,33.89,43.49,2.313905364
9.271595977,78.38825263,27.26,29.79,1.801659152
9.238007557,76.8289839,32.88,45.62,8.123212884
9.213331282,79.19663004,29.28,52.38,3.867650657
9.367525724,76.3205046,29.17,54.65,5.921228151
9.163823998,77.58624928,28.16,47.49,1.896511319
9.214577535,77.33896493,28.37,49.55,2.575227878
9.21655921,77.20051303,25.18,44.03,2.575227878
9.243203167,78.30160791,27.82,41.48,2.313905364
